0,1,2,3,4,5
"titre de l'activité scientifique Séminaire sur les Biomatériaux et Matériaux Composites Innovations, Synthèse et Perspectives d Application",date de l'activité 12/12/2024 13:06,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2880,,,liens images : siminaire: https://ensah.ma/files/news/12122024130501553413627667.jpeg
titre de l'activité scientifique Journée Portes Ouvertes Sous le thème RENFORCEMENT DE L EMPLOYABILITÉ... CHEMIN VERS L EMPLOI,date de l'activité 07/12/2024 14:31,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2863,"description de l'activité L École Nationale des Sciences Appliquées d Al Hoceima (ENSAH) et la Faculté des Sciences et Techniques d Al Hoceima (FSTH), en collaboration avec l ANAPEC, organisent une",,
titre de l'activité scientifique THE 3RD INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLIED MATHEMATICS JIAMA 25,date de l'activité 06/12/2024 10:50,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2862,,,liens images : THE 3RD INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE APPLIED MATHEMATICS JIAMA 25: https://ensah.ma/files/news/06122024104804277022135833.jpeg
titre de l'activité scientifique La 8ème édition de la journée DOCTORIALES VSST 2024,date de l'activité 02/12/2024 08:49,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2852,"description de l'activité Chères et chers Collègues Bonjour, Prière d assurer une large diffusion de l information auprès des jeunes chercheurs de votre établissement. Appel à communication par poster La 8ème ÉDITION DES DOCTORIALES VSST 2024 - SÉANCE COMMUNIQUER ET CONVAINCRE, POSTER À L APPUI ENSA d Al-Hoceima, le samedi 21 décembre 2024 Les Doctoriales VSST s adressent à tous les doctorants souhaitant mieux définir leur avenir professionnel et désireux d approfondir leurs connaissances dans le domaine de la recherche scientifique, de l innovation et de l entreprenariat, quel que soit leur projet de carrière (recherche fondamentale, enseignement, entreprise ou culture). Les Doctoriales est une occasion d apprendre à mieux se former et à valoriser la R D des doctorants. Dynamiser le réseau professionnel des doctorants, générer des rencontres avec les acteurs socio-économique et culturels, tels sont les objectifs de la 8ème édition des Doctoriales Forum Jeune Chercheurs. Cette 8ème édition sera organisée le samedi 21 décembre 2024 au Pôle Universitaire d Al-Hoceima, après l organisation des précédentes éditions à Grenade (Espagne), durant le colloque international VSST, 2015. Al-Hoceima (Maroc), 2015. Rabat (Maroc), durant le colloque international VSST, 2016. Al-Hoceima (Maroc), durant le colloque international ISKO-Maghreb, 2017. Toulouse (France), durant le colloque international VSST, 2018. Al-Hoceima (Maroc), 2019 Webinar, 2020 Une journée pour provoquer des déclics sur les atouts d une formation par la méthodologie de la recherche scientifique, la richesse et la qualité des compétences des doctorants, la nécessité de construire un projet professionnel solide, présenter son travail à des non-spécialistes et s ouvrir à d autres horizons scientifiques et culturels à travers les rencontres interdisciplinaires, initier des rencontres avec les acteurs du monde socio-économique pour révéler les atouts des docteurs au service de leur structure et société. Les Doctoriales est une vitrine de la recherche et de l innovation développées dans notre région pour l ensemble des acteurs socio-économique. CONTEXTE La journée Doctoriales VSST 2024 est axée sur la présentation poster. L exercice proposé a pour objectif de savoir présenter, animer et convaincre les aptitudes requises pour tout porteur de projet autant dans le secteur privé que public. Dans ce cadre, chaque doctorant présentera en 20 minutes questions comprises, à son équipe, au moyen d un poster format A1 préparé à l avance. Ce poster doit bien sûr réalisé et imprimé avant les Doctoriales. DATES IMPORTANTES Date limite de soumission de poster et d inscription au Doctoriales VSST 2024 le dimanche 15 décembre 2024 Inscription gratuite via le formulaire https docs.google.com forms d e 1FAIpQLSdOLL7Mv3M0BxNq4fQM9X5iZWG4VnfuMgBEJ7WryQuaF72-sw viewform PROGRAMME PROVISOIRE DE LA JOURNÉE DOCTORIALES 09h30 10h00 Séance d ouverture 10h00 10h45 La Recherche Scientifique à l UAE Présidence UAE 10h45 11h30 Doctorat au Maroc ? les pistes d amélioration de la performance et l excellence de la recherche scientifique Pr. Mustapha BENNOUNA, ex-Président UAE 11h30 12h00 Pause-Café 12h00 13h00 Lab-Sc. à Ciel Ouvert Communiquer et Convaincre, Poster à l appui 13h00 14h00 Rédaction et Publication Scientifiques les Clés du Succès Pr. Kacem RHARRABE, UAE 14h00 14h30 Séance de clôture 3 Best Poster Awards Pour plus d information https vsst.link https://vsst.link/",,liens images : convaincre: https://ensah.ma/files/news/02122024084325363808990229.jpg; programe: https://ensah.ma/files/news/02122024084300350857434586.jpg
titre de l'activité scientifique Le thé Scientifique est de retour,date de l'activité 20/11/2024 11:01,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2833,"description de l'activité Cher réseau, Le thé Scientifique est de retour, un endroit incontournable, pour le partage des sciences de manière conviviale et décontractée. Le Thé Scientifique est un séminaire mensuel organisé par les enseignants Chercheurs et les doctorants en Science d Ingénieur du Pôle Universitaire d Al-Hoceima, dans une ambiance transdisciplinaire. La 11ème édition du Webinar Thé Scientifique aura lieu le jeudi 21 novembre 2024 de 12h30 à 13h30 sous la thématique Crise d eau au Maroc Décoder l Empreinte Eau pour réussir la Transition Hydrique au Maroc animée par le Pr. Hossain El Ouarghi de l ENSAH et Directeur du Laboratoire des Sciences Appliquées (LSA). l Ecole Nationale des Sciences Appliquées d Al Hoceima (ENSAH)",,liens images : the scientifique: https://ensah.ma/files/news/20112024110043784548192768.jpeg
titre de l'activité scientifique توقيع اتفاقية شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة والصناعة والخدمات جهة طنجة تطوان الحسيمة,date de l'activité 16/11/2024 13:24,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2825,"description de l'activité توقيع اتفاقية شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة والصناعة والخدمات جهة طنجة تطوان الحسيمة .في إطار تعزيز الانفتاح على محيطها السوسيو-اقتصادي تم يوم 13 نوفمبر 2024 توقيع اتفاقية إطار شراكة بين المدرسة الوطنية للعلوم التطبيقية بالحسيمة وغرفة التجارة الصناعة والخدمات لجهة طنجة تطوان الحسيمة وذلك بحضور عامل إقليم الحسيمة .تهدف هذه الاتفاقية إلى تعزيز التعاون بين الطرفين في مجالات عدة تشمل التكوين المستمر البحث والتطوير والتحول الرقمي وذلك بهدف تعزيز التنمية الاقتصادية والاجتماعية على مستوى الإقليم والجهة وتتضمن الاتفاقية عددا من المحاور الرئيسية وهي .التكوين المستمر توفير برامج تدريبية متخصصة لفائدة المهنيين والعاملين في مختلف القطاعات الاقتصادية .التحول الرقمي في قطاع السياحة تطوير برامج تهدف إلى تعزيز المهارات الرقمية في هذا القطاع الحيوي .المؤتمرات والفعاليات العلمية تنظيم فعاليات علمية تستهدف تعزيز تبادل المعرفة والابتكار .البحث والتطوير والابتكار دعم المشاريع البحثية وتنمية الحلول المبتكرة التي تساهم في تعزيز التنمية المستدامة .وفي هذا السياق تم أيضا توقيع اتفاقية خاصة باحداث برنامج شهادة التكوين في التحول الرقمي في مجال السياحة والذي سيتم فتح باب التسجيل فيه قريبا .من خلال هذه المبادرة تسعى المدرسة الوطنية للعلوم التطبيقية بالحسيمة إلى المساهمة في تطوير الكفاءات البشرية المتخصصة داخل الإقليم وتعزيز دورها كشريك أساسي للتنمية بما يعود بالنفع على تطوير قطاع السياحة والاقتصاد المحلي On November 13, 2024, The National School of Applied Sciences of Al Hoceima and the Chamber of Commerce, Industry and Services of Tangier-Tetouan-Al Hoceima signed a framework partnership agreement under the auspices of the Governor of Al Hoceima province. The purpose of this agreement is to strengthen collaboration between the two parties in various fields, particularly in the areas of continuing education, research and development, and more. The agreement aims to establish the general terms and agreed-upon areas of collaboration, which include - Continuing education - Digital transformation in the tourism sector - Conferences and scientific events - Research, development, and innovation - National and international development Additionally, the two parties signed an initial specific agreement aimed at launching a certification program in the field of digital transformation in the tourism sector, with training sessions set to begin in the near future. Furthermore, through other targeted training programs, the National School of Applied Sciences of Al Hoceima will support the Chamber of Commerce at the regional and local levels in the development of specialized human capital and the enhancement of internal skills. L ENSAH et la Chambre de Commerce, d Industrie et de Services de la Région Tanger Tétouan Al Hoceima ont signé le 13 Novembre 2024 une convention cadre de partenariat, sous le patronage du gouverneur de la province d Al-Hoceima, qui a pour ambition de renforcer leurs liens de coopération dans de nombreux domaines, notamment celui de la formation continue, la R D, Ladite convention cadre a pour objet de fixer les dispositions générales et les axes de partenariat convenus conjointement, il s agit de La formation continue La transformation digitale dans le Tourisme Les conférences et manifestations scientifiques La recherche, développement et innovation Le développement national et international. Une 1ère convention spécifique a été signée entre les deux parties qui a pour objet de lancer un certificat de Transformation Digitale dans le domaine de Tourisme, dont la formation sera ouverte très prochainement. Aussi, à travers d autres programmes de formation ciblés, l ENSAH accompagnera la Chambre de Commerce, d Industrie et de Services de la Région Tanger Tétouan Al Hoceima au niveau de province d Al-Hoceima et régional dans le développement du capital humain spécialiste et des compétences internes.",,liens images : img1: https://ensah.ma/files/news/16112024125711168345880270.jpeg; img2: https://ensah.ma/files/news/16112024125722661674280383.jpeg; img3: https://ensah.ma/files/news/16112024125733734391990253.jpeg; img4: https://ensah.ma/files/news/16112024125938539988199674.jpeg
titre de l'activité scientifique L ENSAH organise une conférence sur la méthodologie LEAN SIX SIGMA,date de l'activité 12/11/2024 13:54,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2818,,,
titre de l'activité scientifique Communiqué de Presse Forum Régional École-Entreprise 2024 (FR2E 24),date de l'activité 08/11/2024 13:20,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2814,description de l'activité L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF : Document PDF associée: https://ensah.ma/files/news/08112024131829596140916209.pdf,liens images : Communiqué de Presse: https://ensah.ma/files/news/08112024131819927143890519.jpeg
titre de l'activité scientifique La 2ème Conférence Internationale sur le Génie Civil et les Matériaux (ICCEM 24),date de l'activité 01/11/2024 10:12,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2808,"description de l'activité L École Nationale des Sciences Appliquées d Al-Hoceima, à travers l équipe de recherche Sciences des Matériaux, Énergie et Environnement du Laboratoire des Sciences de l Ingénieur et Applications, en collaboration avec l Association Marocaine pour la Recherche Scientifique et le Développement, organise la 2ème Conférence Internationale sur le Génie Civil et les Matériaux (ICCEM 24) les 13 et 14 décembre 2024. ICCEM 24 a pour ambition de réunir des scientifiques, chercheurs et industriels de renommée afin d échanger et de partager leurs expériences ainsi que les résultats de leurs travaux de recherche dans les domaines du génie civil et des matériaux, et leurs diverses applications. Cette conférence offre également une plateforme interdisciplinaire propice à la discussion des dernières avancées et à l exploration d opportunités de collaboration entre les participants issus de différents horizons. Lien https iccem24.sciencesconf.org ?lang fr https://iccem24.sciencesconf.org/?lang=fr Les articles sélectionnés, après une évaluation en double aveugle par le comité scientifique et une présentation à la conférence par l un des co-auteurs, seront publiés dans des revues internationales indexées Scopus et Web Of Sciences",,liens images : event 1: https://ensah.ma/files/news/01112024095855517962448240.jpeg; event 2: https://ensah.ma/files/news/01112024100213153368687999.jpeg
titre de l'activité scientifique la 8éme édition du congrès international de la thermique AMT 2024 sous le thème La thermique au cœur de la transition énergétique,date de l'activité 24/04/2024 10:11,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2612,description de l'activité L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF : Document PDF associée: https://ensah.ma/files/news/24042024100750314288276217.pdf,
"titre de l'activité scientifique Une journée scientifique Sous la thématique Eau, Climat, Energie et Bâtiments Quels enjeux ?",date de l'activité 16/04/2024 14:39,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2603,description de l'activité L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF : Document PDF associée: https://ensah.ma/files/news/16042024143619989738180474.pdf,
titre de l'activité scientifique SCHOBOT ندوة علمية تحت عنوان استكشاف حدود البحث العلمي بالذكاء الاصطناعي,date de l'activité 06/03/2024 14:45,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2584,description de l'activité Veuillez se connecter sur e-services https://ensah.ma/apps/eservices/internal/members/common/newsDetails.php?idNews=2584 pour voir cette annonce,,
titre de l'activité scientifique Journée Internationale des Mathématiques pour célébrer le nombre π,date de l'activité 04/03/2024 11:18,le lien de l'activité https://ensah.ma/public/newsDetails.php?idNews=2580,description de l'activité L annonce complète est disponible via le fichier attaché ci-dessous,liens PDF : Document PDF associée: https://ensah.ma/files/news/04032024111426251300853941.pdf,
